actor,filmId,genre,producer,rating,title
Nicolas Cage,1738.0,Action,Nicolas Cage,6.0,Next
Chris Pine,7516.0,Action,Tim Bevan,6.0,Smokin' Aces
Ryan Reynolds,7516.0,Action,Tim Bevan,6.0,Smokin' Aces
Hugh Jackman,512.0,Comedy,Letty Aronson,6.0,Scoop
Will Ferrell,9718.0,Comedy,Judd Apatow,6.0,Talladega Nights: The Ballad of Ricky Bobby
Paul Rudd,1593.0,Action,Chris Columbus,6.0,Night at the Museum
James Franco,13551.0,Mystery,Tom Rosenberg,6.0,The Dead Girl
Owen Wilson,1593.0,Action,Chris Columbus,6.0,Night at the Museum
Robert De Niro,9992.0,Adventure,Luc Besson,6.0,Arthur and the Invisibles
Ben Stiller,1593.0,Action,Chris Columbus,6.0,Night at the Museum
Ewan McGregor,13967.0,Drama,David Kirschner,6.0,Miss Potter
Samuel L. Jackson,14171.0,Action,Irwin Winkler,6.0,Home of the Brave
Matt Damon,1247.0,Drama,Robert De Niro,6.0,The Good Shepherd
Robert De Niro,1247.0,Drama,Robert De Niro,6.0,The Good Shepherd
Nicolas Cage,1852.0,Drama,Debra Hill,6.0,World Trade Center
Ben Affleck,7516.0,Action,Tim Bevan,6.0,Smokin' Aces
John Goodman,11835.0,Action,Ashok Amritraj,6.0,Death Sentence
Antonio Banderas,4351.0,Crime,Gregory Nava,6.0,Bordertown
Bradley Cooper,6877.0,Comedy,Scott Rudin,6.0,Failure to Launch
Hugh Dancy,10822.0,Drama,Pamela Koffler,6.0,Savage Grace
Harrison Ford,217.0,Adventure,Frank Marshall,6.0,Indiana Jones and the Kingdom of the Crystal Skull
Peter Dinklage,2454.0,Adventure,Mark Johnson,6.0,The Chronicles of Narnia: Prince Caspian
Chris Pine,13162.0,Comedy,James Keach,6.0,Blind Dating
Michael Caine,6963.0,Comedy,Steve Tisch,6.0,The Weather Man
Nicolas Cage,6963.0,Comedy,Steve Tisch,6.0,The Weather Man
Jean Reno,10799.0,Action,Patrice Ledoux,6.0,Empire of the Wolves
Jason Statham,10851.0,Drama,Virginie Besson-Silla,6.0,Revolver
Patrick Stewart,9982.0,Animation,Randy Fullmer,6.0,Chicken Little
Ewan McGregor,13018.0,Thriller,Hugh Jackman,6.0,Deception
Hugh Jackman,13018.0,Thriller,Hugh Jackman,6.0,Deception
Christopher Walken,13994.0,Comedy,John Turturro,6.0,Romance & Cigarettes
Steve Buscemi,13994.0,Comedy,John Turturro,6.0,Romance & Cigarettes
Robert Duvall,31604.0,Crime,Martin Baum,6.0,The Killer Elite
John Goodman,7459.0,Action,Joel Silver,6.0,Speed Racer
Matt Damon,231.0,Drama,Jennifer Fox,6.0,Syriana
George Clooney,231.0,Drama,Jennifer Fox,6.0,Syriana
Christopher Plummer,231.0,Drama,Jennifer Fox,6.0,Syriana
Keanu Reeves,1266.0,Action,Erwin Stoff,6.0,Street Kings
Chris Evans,1266.0,Action,Erwin Stoff,6.0,Street Kings
Forest Whitaker,1266.0,Action,Erwin Stoff,6.0,Street Kings
Jason Bateman,9870.0,Comedy,Judd Apatow,6.0,Forgetting Sarah Marshall
Paul Rudd,9870.0,Comedy,Judd Apatow,6.0,Forgetting Sarah Marshall
Channing Tatum,8988.0,Drama,Kimberly Peirce,6.0,Stop-Loss
Joseph Gordon-Levitt,8988.0,Drama,Kimberly Peirce,6.0,Stop-Loss
George Clooney,4942.0,Comedy,George Clooney,6.0,Leatherheads
Kevin Spacey,8065.0,Drama,Michael De Luca,6.0,21
Robert Downey Jr.,1724.0,Science Fiction,Gale Anne Hurd,6.0,The Incredible Hulk
Sean Penn,1717.0,Drama,Steven Zaillian,6.0,All the King's Men
Morgan Freeman,8909.0,Action,Iain Smith,6.0,Wanted
James McAvoy,8909.0,Action,Iain Smith,6.0,Wanted
Tom Cruise,7446.0,Action,Eric McLeod,6.0,Tropic Thunder
Matthew McConaughey,7446.0,Action,Eric McLeod,6.0,Tropic Thunder
Robert Downey Jr.,7446.0,Action,Eric McLeod,6.0,Tropic Thunder
Nicolas Cage,8649.0,Drama,Scott Rudin,7.0,Bringing Out the Dead
John Goodman,8649.0,Drama,Scott Rudin,7.0,Bringing Out the Dead
Ian McKellen,49051.0,Adventure,Carolynne Cunningham,7.0,The Hobbit: An Unexpected Journey
Benedict Cumberbatch,49051.0,Adventure,Carolynne Cunningham,7.0,The Hobbit: An Unexpected Journey
Hugh Jackman,81188.0,Fantasy,Christina Steinberg,7.0,Rise of the Guardians
Chris Pratt,97630.0,Thriller,Kathryn Bigelow,7.0,Zero Dark Thirty
Samuel L. Jackson,8052.0,Drama,Robert Jones,7.0,Hard Eight
Tom Cruise,628.0,Horror,David Geffen,7.0,Interview with the Vampire
Brad Pitt,4912.0,Comedy,Andrew Lazar,7.0,Confessions of a Dangerous Mind
Antonio Banderas,628.0,Horror,David Geffen,7.0,Interview with the Vampire
James Franco,316761.0,Documentary,Charlie Fonville,7.0,Call Me Lucky
Patrick Stewart,11527.0,Fantasy,John Boorman,7.0,Excalibur
Joseph Gordon-Levitt,72976.0,History,Kathleen Kennedy,7.0,Lincoln
Bill Murray,24453.0,Drama,Harry Benn,7.0,The Razor's Edge
Clint Eastwood,4929.0,Western,Leonard Freeman,7.0,Hang 'em High
Morgan Freeman,50081.0,Documentary,Drew Fellman,7.0,Born to Be Wild
Clint Eastwood,11901.0,Western,Robert Daley,7.0,High Plains Drifter
Kevin Costner,9559.0,Crime,Clint Eastwood,7.0,A Perfect World
George Clooney,4912.0,Comedy,Andrew Lazar,7.0,Confessions of a Dangerous Mind
Clint Eastwood,9559.0,Crime,Clint Eastwood,7.0,A Perfect World
Keanu Reeves,11971.0,Drama,Kenneth Branagh,7.0,Much Ado About Nothing
Tommy Lee Jones,72976.0,History,Kathleen Kennedy,7.0,Lincoln
Daniel Day-Lewis,72976.0,History,Kathleen Kennedy,7.0,Lincoln
George Clooney,6415.0,Action,Charles Roven,7.0,Three Kings
Brad Pitt,492.0,Fantasy,Steve Golin,7.0,Being John Malkovich
Mark Wahlberg,6415.0,Action,Charles Roven,7.0,Three Kings
Ewan McGregor,80278.0,Thriller,Álvaro Augustín,7.0,The Impossible
Ben Kingsley,26371.0,Drama,Ismail Merchant,7.0,Maurice
Russell Crowe,9008.0,Drama,Pieter Jan Brugge,7.0,The Insider
Bill Murray,620.0,Comedy,Ivan Reitman,7.0,Ghostbusters
Matthew McConaughey,26748.0,Drama,R. Paul Miller,7.0,Lone Star
Jake Gyllenhaal,77016.0,Crime,David Ayer,7.0,End of Watch
Joaquin Phoenix,68722.0,Drama,Paul Thomas Anderson,7.0,The Master
Bryan Cranston,140300.0,Action,Melissa Cobb,7.0,Kung Fu Panda 3
Ben Kingsley,253980.0,Comedy,Kevin Feige,7.0,Marvel One-Shot: All Hail the King
Jeremy Irons,9540.0,Drama,Marc Boyman,7.0,Dead Ringers
Robert Downey Jr.,68721.0,Action,Kevin Feige,7.0,Iron Man 3
Nicolas Cage,2039.0,Comedy,Patrick J. Palmer,7.0,Moonstruck
Chris Pine,81188.0,Fantasy,Christina Steinberg,7.0,Rise of the Guardians
Mark Ruffalo,68721.0,Action,Kevin Feige,7.0,Iron Man 3
Clint Eastwood,87825.0,Drama,Clint Eastwood,7.0,Trouble with the Curve
Don Cheadle,68721.0,Action,Kevin Feige,7.0,Iron Man 3
John Goodman,294016.0,Drama,Kevin Kelly Brown,7.0,Trumbo
Jason Bateman,127517.0,Drama,William Horberg,7.0,Disconnect
Ben Kingsley,68721.0,Action,Kevin Feige,7.0,Iron Man 3
Kevin Spacey,10872.0,Comedy,Jerry Bruckheimer,7.0,The Ref
Joseph Gordon-Levitt,59967.0,Action,James D. Stern,7.0,Looper
Russell Crowe,10412.0,Action,Ian Pringle,7.0,Romper Stomper
Ewan McGregor,392820.0,Documentary,Carter Logan,7.0,Gimme Danger
Samuel L. Jackson,1645.0,Crime,Michael G. Nathanson,7.0,A Time to Kill
Matthew McConaughey,1645.0,Crime,Michael G. Nathanson,7.0,A Time to Kill
Matthew McConaughey,103731.0,Drama,Aaron Ryder,7.0,Mud
Kevin Costner,214137.0,Documentary,Jakob Staberg,7.0,The Man Who Saved the World
Matt Damon,214137.0,Documentary,Jakob Staberg,7.0,The Man Who Saved the World
Johnny Depp,2668.0,Drama,Scott Rudin,7.0,Sleepy Hollow
Christopher Walken,2668.0,Drama,Scott Rudin,7.0,Sleepy Hollow
Robert De Niro,214137.0,Documentary,Jakob Staberg,7.0,The Man Who Saved the World
Jason Bateman,328425.0,Thriller,Joel Edgerton,7.0,The Gift
Kevin Spacey,1645.0,Crime,Michael G. Nathanson,7.0,A Time to Kill
Jean Reno,11687.0,Fantasy,Alain Terzian,7.0,The Visitors
Harrison Ford,109410.0,Drama,Thomas Tull,7.0,42
Ben Affleck,1832.0,Fantasy,Scott Mosier,7.0,Dogma
Tom Cruise,345.0,Mystery,Stanley Kubrick,7.0,Eyes Wide Shut
Jeff Bridges,1073.0,Drama,Tom Gorai,7.0,Arlington Road
Nicolas Cage,9802.0,Action,Jerry Bruckheimer,7.0,The Rock
Patrick Stewart,313922.0,Horror,Neil Kopp,7.0,Green Room
Matthew McConaughey,343289.0,Documentary,Derik Murray,7.0,I Am Evel Knievel
Ryan Reynolds,49519.0,Adventure,Jane Hartwell,7.0,The Croods
Nicolas Cage,49519.0,Adventure,Jane Hartwell,7.0,The Croods
Christopher Plummer,9008.0,Drama,Pieter Jan Brugge,7.0,The Insider
Robert Duvall,37094.0,Crime,Timothy Harris,7.0,Falling Down
Tom Hardy,276907.0,Crime,Tim Bevan,7.0,Legend
Colin Farrell,86838.0,Comedy,Graham Broadbent,7.0,Seven Psychopaths
Woody Harrelson,86838.0,Comedy,Graham Broadbent,7.0,Seven Psychopaths
Christopher Walken,86838.0,Comedy,Graham Broadbent,7.0,Seven Psychopaths
Bryan Cranston,294016.0,Drama,Kevin Kelly Brown,7.0,Trumbo
Ben Affleck,68734.0,Drama,Ben Affleck,7.0,Argo
Bryan Cranston,68734.0,Drama,Ben Affleck,7.0,Argo
Russell Crowe,254172.0,Drama,Sherryl Clark,7.0,Fathers and Daughters
Dustin Hoffman,140300.0,Action,Melissa Cobb,7.0,Kung Fu Panda 3
Bradley Cooper,97367.0,Drama,Lynette Howell,7.0,The Place Beyond the Pines
Keanu Reeves,110354.0,Documentary,Keanu Reeves,7.0,Side by Side
Ryan Gosling,97367.0,Drama,Lynette Howell,7.0,The Place Beyond the Pines
Steve Buscemi,76492.0,Animation,Michelle Murdocca,7.0,Hotel Transylvania
Christoph Waltz,48856.0,Crime,Selma Brenner,7.0,Gun-shy
Morgan Freeman,101731.0,Comedy,Nicolas Chartier,7.0,The Magic of Belle Isle
Jude Law,1946.0,Action,David Cronenberg,7.0,eXistenZ
Willem Dafoe,1946.0,Action,David Cronenberg,7.0,eXistenZ
Daniel Craig,83581.0,Comedy,Graham Broadbent,7.0,Some Voices
Matt Damon,1832.0,Fantasy,Scott Mosier,7.0,Dogma
John Goodman,68734.0,Drama,Ben Affleck,7.0,Argo
John Goodman,87825.0,Drama,Clint Eastwood,7.0,Trouble with the Curve
Idris Elba,76338.0,Action,Kevin Feige,7.0,Thor: The Dark World
Brad Pitt,4476.0,Adventure,Edward Zwick,7.0,Legends of the Fall
Robert Downey Jr.,271110.0,Adventure,Kevin Feige,7.0,Captain America: Civil War
Chris Evans,271110.0,Adventure,Kevin Feige,7.0,Captain America: Civil War
Paul Rudd,271110.0,Adventure,Kevin Feige,7.0,Captain America: Civil War
Don Cheadle,271110.0,Adventure,Kevin Feige,7.0,Captain America: Civil War
Jeremy Renner,271110.0,Adventure,Kevin Feige,7.0,Captain America: Civil War
Dustin Hoffman,212778.0,Comedy,Jon Favreau,7.0,Chef
Benedict Cumberbatch,284052.0,Action,Kevin Feige,7.0,Doctor Strange
Chris Hemsworth,284052.0,Action,Kevin Feige,7.0,Doctor Strange
Robert Downey Jr.,212778.0,Comedy,Jon Favreau,7.0,Chef
Daniel Day-Lewis,9361.0,Action,Hunt Lowry,7.0,The Last of the Mohicans
Chris Pine,39477.0,Drama,Wonder Fortune Serra,7.0,Small Town Saturday Night
Robert De Niro,9819.0,Drama,Robert De Niro,7.0,Marvin's Room
Javier Bardem,267.0,Drama,Agustín Almodóvar,7.0,Live Flesh
Leonardo DiCaprio,9819.0,Drama,Robert De Niro,7.0,Marvin's Room
Ben Kingsley,2322.0,Comedy,Walter F. Parkes,7.0,Sneakers
Johnny Depp,4104.0,Comedy,Susan Arnold,7.0,Benny & Joon
Tom Cruise,359871.0,Documentary,Simon Chinn,7.0,My Scientology Movie
William H. Macy,4104.0,Comedy,Susan Arnold,7.0,Benny & Joon
Denzel Washington,9469.0,Drama,Jon Kilik,7.0,He Got Game
Tom Hardy,76341.0,Action,Doug Mitchell,7.0,Mad Max: Fury Road
John Goodman,336775.0,Comedy,James Portolese,7.0,All-Stars
Denzel Washington,156022.0,Thriller,Steve Tisch,7.0,The Equalizer
Johnny Depp,166426.0,Adventure,Jerry Bruckheimer,7.0,Pirates of the Caribbean: Dead Men Tell No Tales
Javier Bardem,166426.0,Adventure,Jerry Bruckheimer,7.0,Pirates of the Caribbean: Dead Men Tell No Tales
Channing Tatum,187017.0,Crime,Jonah Hill,7.0,22 Jump Street
Geoffrey Rush,166426.0,Adventure,Jerry Bruckheimer,7.0,Pirates of the Caribbean: Dead Men Tell No Tales
Keanu Reeves,1637.0,Action,Mark Gordon,7.0,Speed
Paul Giamatti,9403.0,Comedy,Celia D. Costas,7.0,Private Parts
Paul Rudd,102899.0,Science Fiction,Kevin Feige,7.0,Ant-Man
Al Pacino,9366.0,Crime,Louis DiGiaimo,7.0,Donnie Brasco
Christopher Walken,10668.0,Action,Morrie Eisenman,7.0,Suicide Kings
Johnny Depp,9366.0,Crime,Louis DiGiaimo,7.0,Donnie Brasco
Mark Ruffalo,198277.0,Comedy,Tobin Armbrust,7.0,Begin Again
Don Cheadle,25624.0,Drama,Jon Peters,7.0,Rosewood
Sean Penn,34158.0,History,Dan Abrams,8.0,The People Speak
Don Cheadle,34158.0,History,Dan Abrams,8.0,The People Speak
Steve Buscemi,409536.0,Comedy,Ryan Cunningham,8.0,Horace and Pete
Samuel L. Jackson,411019.0,Documentary,Raoul Peck,8.0,I Am Not Your Negro
Jake Gyllenhaal,387426.0,Adventure,Bong Joon-ho,8.0,Okja
Sean Penn,6075.0,Action,Martin Bregman,8.0,Carlito's Way
Daniel Day-Lewis,7984.0,Drama,Jim Sheridan,8.0,In the Name of the Father
